Main Category,Sub Category,2018 Onward ACS/PRCS,Occupation title
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,131199,"Business Operations Specialists, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132011,Accountants and Auditors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132020,Property appraisers and assessors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132031,Budget Analysts
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132041,Credit Analysts
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132051,Financial and Investment Analysts
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132052,Personal Financial Advisors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132053,Insurance Underwriters
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132061,Financial Examiners
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132070,Credit Counselors and Loan Officers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132081,"Tax Examiners and Collectors, and Revenue Agents"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,132082,Tax Preparers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Business and Financial Operations Occupations:,1320XX,Other Financial Specialists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151221,Computer And Information Research Scientists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151211,Computer Systems Analysts
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151212,Information Security Analysts
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151251,Computer Programmers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151252,Software Developers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151253,Software Quality Assurance Analysts And Testers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151254,Web Developers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151255,Web And Digital Interface Designers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151230,Computer Support Specialists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,15124X,Database Administrators And Architects
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151244,Network And Computer Systems Administrators
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151241,Computer Network Architects
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,151299,"Computer Occupations, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,152011,Actuaries
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,152031,Operations Research Analysts
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Computer and Mathematical Occupations:,1520XX,Other Mathematical Science Occupations
